Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,Diagnosed,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments
29,Female,United States,New York,No,No,Yes,Never,Yes,500 to 1000,No,No,Yes,No,No,Don't know,Don't know,Somewhat difficult,Maybe,No,Some of them,No,No,No,Don't know,No,NA
41,Male,United States,Virginia,No,No,No,NA,No,26 to 100,No,Yes,Yes,Not sure,No,No,Don't know,Very easy,Yes,No,No,Some of them,No,No,Don't know,No,NA
34,Female,United States,Washington,No,No,No,NA,No,6 to 25,No,Yes,Yes,No,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,One of my coworkers has mental health issues and she's open about them (eg: my enjoyment of this project may be due to my recent change in meds). I believe the response has been generally supportive. We're a very small tight-knit company.
28,Male,United States,Pennsylvania,No,No,No,Rarely,Yes,6 to 25,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,Some of them,Some of them,No,Maybe,Don't know,No,NA
28,Male,United States,Michigan,No,No,Yes,Sometimes,Yes,More than 1000,No,Yes,No,Yes,No,No,Yes,Very difficult,Yes,No,No,Some of them,No,No,No,No,NA
23,Male,United States,Pennsylvania,No,No,No,Never,Yes,26 to 100,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,No,Yes,No,Yes,Yes,No,A strong mind goes a long way. Stay strong. Take some time off to help. Its all in your head. 
24,Male,United States,Oregon,No,No,No,NA,No,1 to 5,No,Yes,Don't know,No,Don't know,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,Would you bring up a mental health issue with a potential employer in an interview?Poignant.
32,Male,United States,Washington,No,No,No,Rarely,Yes,1 to 5,Yes,Yes,No,Yes,No,No,Don't know,Very difficult,No,No,Some of them,Yes,No,Maybe,Yes,No,NA
24,Male,United States,Pennsylvania,No,No,No,Never,Yes,6 to 25,No,Yes,Yes,Not sure,No,Don't know,Don't know,Very easy,Maybe,No,Some of them,No,Maybe,Maybe,Yes,No,NA
36,Male,United States,Ohio,No,No,Yes,Sometimes,Yes,26 to 100,No,Yes,Yes,No,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,Yes,NA
41,Male,United States,Texas,No,No,Yes,Rarely,Yes,500 to 1000,Yes,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,No,Maybe,Maybe,No,No,I found it difficult to answer all of the questions effectively as many of them would depend on the nature of the mental health issues as some seem more socially accepted than others. For some people telling your current supervisor that you have a history of bi-polar disorder might be easier than telling a potential employer that you have a history of compulsive gambling. They might both be bits of irrelevant information (past behavior and not indicators of future behavior). However western culture pushes us to appear as capable as possible to our supervisors in pursuit of excellence in our work. Providing information that could create a negative bias seems like a more genuine and yet more risky approach to the discussion.
38,Male,United States,New Hampshire,No,No,No,Sometimes,Yes,26 to 100,Yes,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Yes,No,Maybe,No,No,NA
37,Female,United States,North Carolina,No,Yes,Yes,Sometimes,Yes,More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,NA
34,Male,United States,Florida,No,Yes,Yes,Sometimes,Yes,1 to 5,No,Yes,No,No,No,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Some of them,No,Maybe,No,Yes,NA
33,Male,United States,California,No,Yes,Yes,Sometimes,Yes,26 to 100,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No,NA
27,Male,United States,Georgia,No,No,No,Never,Yes,More than 1000,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,NA
40,Male,United States,Ohio,No,No,Yes,Sometimes,Yes,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Yes,Maybe,No,No,No,Maybe,No,Yes,I have only discussed my mental illness with close family members. I feel completely uncomfortable discussing with anyone at my place of employment as I am concerned it would have negative consequences.
21,Male,United States,Kentucky,No,No,Yes,Often,Yes,6 to 25,No,No,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Maybe,Don't know,No,NA
32,Male,United States,North Carolina,No,Yes,Yes,Sometimes,Yes,1 to 5,Yes,Yes,No,No,No,No,Don't know,Don't know,Maybe,No,Yes,Yes,No,Yes,Don't know,No,NA
29,Female,United States,New York,No,Yes,Yes,Rarely,Yes,500 to 1000,Yes,No,Yes,Yes,Yes,Don't know,Yes,Don't know,Maybe,No,Some of them,No,Maybe,Yes,Don't know,No,NA
23,Male,United States,Alabama,No,Yes,Yes,Sometimes,Yes,26 to 100,Yes,No,Don't know,No,No,Don't know,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,No,Yes,Yes,No,NA
28,Male,United States,Georgia,No,Yes,No,NA,No,100 to 500,No,Yes,Yes,No,No,Don't know,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,Yes,NA
31,Male,United States,California,No,Yes,Yes,Rarely,Yes,100 to 500,Yes,Yes,Yes,Yes,Yes,Don't know,Yes,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,NA
24,Male,United States,Virginia,No,No,No,Sometimes,Yes,6 to 25,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Don't know,No,NA
42,Male,United States,Washington,No,No,No,Never,Yes,6 to 25,Yes,Yes,No,Yes,No,Yes,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,No benefits at this organization but my employer/direct supervisor has had positive and constructive conversations with me about physical and mental health. Supervisor offered solutions advice time/energy to get help if I ever felt that needed it. (though it would have to be at my own expense). I feel safe sharing personal info with this particular person/company but this environment is the exception rather than the norm in my 15+ years as a tech worker. I would never feel safe enough to reveal info about any mental health concerns with any previous employers in the tech industry for fear of  negative perceptions job loss performance dings etc. 
27,Female,United States,Texas,No,No,Yes,Rarely,Yes,6 to 25,No,Yes,Yes,No,No,No,Yes,Don't know,Maybe,Maybe,Yes,No,No,Maybe,Don't know,No,NA
30,Male,United States,Florida,No,No,Yes,Sometimes,Yes,100 to 500,Yes,Yes,Yes,Yes,No,Yes,Yes,Don't know,No,No,Yes,Yes,Maybe,No,Yes,No,NA
32,Male,United States,Nevada,No,No,No,NA,No,6 to 25,No,Yes,No,Yes,No,Don't know,Don't know,Very easy,No,No,Some of them,Yes,No,Maybe,Don't know,No,NA
41,Male,United States,Alabama,No,No,Yes,Sometimes,Yes,26 to 100,Yes,Yes,Yes,Yes,Don't know,No,Don't know,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No,I think I am very lucky in my workplace. Our CEO has a degree in psychology.
37,Female,United States,California,No,Yes,Yes,Often,Yes,26 to 100,No,Yes,Yes,Yes,No,No,Yes,Don't know,Maybe,No,Some of them,Some of them,No,Yes,Don't know,No,NA
32,Male,United States,Colorado,No,No,No,Never,Yes,6 to 25,Yes,Yes,No,No,No,No,Don't know,Very easy,No,No,Yes,Yes,No,No,Don't know,No,NA
23,Female,United States,Minnesota,No,Yes,Yes,Never,Yes,100 to 500,No,No,Yes,No,Don't know,Don't know,Yes,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,NA
30,Male,United States,New Jersey,No,No,No,NA,No,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,No,No,Yes,No,NA
38,Male,United States,Pennsylvania,No,No,Yes,Rarely,Yes,26 to 100,Yes,Yes,Yes,No,No,No,Don't know,Don't know,Yes,No,No,No,No,Maybe,No,No,NA
34,Male,United States,Missouri,No,No,No,NA,No,26 to 100,No,No,Yes,No,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No,NA
28,Male,United States,Minnesota,No,No,Yes,Rarely,Yes,100 to 500,No,No,Yes,Yes,Yes,Don't know,Don't know,Very easy,Maybe,No,Some of them,Some of them,No,No,Yes,No,NA
23,Male,United States,Pennsylvania,No,Yes,No,Sometimes,Yes,100 to 500,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,No,No,NA
18,Male,United States,Texas,No,No,Yes,Sometimes,Yes,6 to 25,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Yes,No,No,No,No,Maybe,Don't know,No,NA
35,Male,United States,New York,No,Yes,Yes,Sometimes,Yes,26 to 100,No,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,Yes,No,No,Some of them,No,Maybe,Don't know,No,NA
26,Female,United States,Washington,No,Yes,Yes,Rarely,Yes,More than 1000,No,Yes,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,NA
18,Male,United States,Washington,No,No,No,Never,Yes,26 to 100,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,NA
38,Female,United States,Texas,No,No,Yes,Sometimes,Yes,1 to 5,No,Yes,No,Yes,No,No,Don't know,Don't know,No,Maybe,Some of them,No,No,No,Don't know,Yes,The form of mental health problem that I suffer is anxiety.
26,Female,United States,Texas,No,Yes,Yes,Rarely,Yes,More than 1000,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,No,Don't know,No,NA
35,Male,United States,California,No,No,No,Never,Yes,More than 1000,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,Some of them,No,No,Don't know,No,NA
45,Male,United States,New York,No,Yes,Yes,Sometimes,Yes,More than 1000,No,Yes,Yes,Yes,Don't know,Don't know,Yes,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No,NA
32,Male,United States,California,No,No,No,Never,Yes,More than 1000,No,Yes,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,NA
56,Male,United States,Idaho,No,No,Yes,Never,Yes,More than 1000,No,Yes,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,No,Maybe,Yes,Some of them,No,Maybe,Don't know,No,NA
24,Female,United States,California,No,No,No,NA,No,500 to 1000,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,Maybe,No,No,NA
30,Female,United States,South Carolina,No,Yes,Yes,Sometimes,Yes,26 to 100,No,Yes,Yes,Yes,Yes,Don't know,Don't know,Very easy,No,No,Yes,Yes,No,Yes,Yes,No,NA
60,Male,United States,California,No,No,No,NA,No,More than 1000,No,Yes,Yes,No,Don't know,Yes,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,NA
33,Male,United States,California,No,Yes,Yes,Sometimes,Yes,More than 1000,No,Yes,Yes,No,Yes,Yes,Don't know,Don't know,Yes,No,No,No,No,Maybe,Don't know,No,NA
37,Male,United States,New York,No,No,No,Never,Yes,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No,NA
23,Female,United States,New York,No,No,Yes,Sometimes,Yes,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Yes,No,NA
31,Female,United States,California,No,No,Yes,Sometimes,Yes,More than 1000,No,Yes,Yes,Not sure,Don't know,Don't know,Yes,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No,NA
26,Male,United States,Massachusetts,No,No,No,Rarely,Yes,100 to 500,No,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,Maybe,Don't know,No,NA
28,Female,United States,Washington,No,Yes,Yes,Often,Yes,100 to 500,Yes,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,No,Some of them,Yes,No,No,Yes,No,NA
37,Female,United States,California,No,No,Yes,Rarely,Yes,More than 1000,No,Yes,Yes,Yes,Don't know,Yes,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,NA
30,Other,United States,Illinois,No,Yes,Yes,Rarely,Yes,26 to 100,No,Yes,Yes,Not sure,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Don't know,No,NA
26,Male,United States,Indiana,No,No,No,NA,No,26 to 100,No,Yes,No,No,No,No,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,Yes,NA
25,Male,United States,Oregon,No,No,No,NA,No,26 to 100,Yes,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,NA
27,Male,United States,Tennessee,No,No,No,Sometimes,Yes,100 to 500,No,Yes,Yes,Not sure,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No,The thought of going through my employer directly to get help is fucking scary.Getting help is the hardest part of getting help.
35,Male,United States,Oregon,No,No,Yes,Rarely,Yes,100 to 500,No,Yes,Yes,Not sure,Don't know,Yes,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,NA
36,Male,United States,Washington,Yes,No,Yes,Never,Yes,1 to 5,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Yes,No,NA
26,Male,United States,California,No,Yes,Yes,Sometimes,Yes,More than 1000,No,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,No,No,No,No,No,No,No,NA
27,Male,United States,California,No,Yes,No,NA,No,More than 1000,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Don't know because I haven't checked not because it's difficult to find out. If you didn't have the don't know option I would've looked up the answer.
30,Male,United States,Vermont,No,No,No,NA,No,6 to 25,No,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,NA
29,Male,United States,New York,No,No,No,NA,No,100 to 500,No,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Maybe,Don't know,No,NA
25,Male,United States,Utah,No,No,No,Never,Yes,More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,NA
22,Female,United States,New York,No,Yes,Yes,Often,Yes,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,No,Some of them,No,No,Yes,Yes,NA
41,Male,United States,South Dakota,No,Yes,Yes,Rarely,Yes,100 to 500,Yes,Yes,Yes,Yes,Don't know,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,NA
29,Male,United States,California,No,No,Yes,Sometimes,Yes,More than 1000,No,Yes,Yes,No,No,Don't know,Don't know,Don't know,Yes,No,Some of them,Some of them,No,Maybe,No,No,NA
32,Male,United States,Oregon,No,No,No,Never,Yes,500 to 1000,No,Yes,Yes,Not sure,Don't know,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,NA
24,Female,United States,California,No,Yes,Yes,Sometimes,Yes,More than 1000,No,Yes,Yes,Yes,No,Yes,Yes,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,NA
25,Male,United States,California,No,No,Yes,Rarely,Yes,6 to 25,No,Yes,Yes,No,Don't know,No,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No,NA
25,Male,United States,California,No,No,No,NA,No,More than 1000,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Maybe,Don't know,No,NA
30,Female,United States,Colorado,No,No,No,Never,Yes,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,No,Some of them,No,No,Don't know,No,NA
25,Male,United States,California,No,Yes,Yes,Sometimes,Yes,More than 1000,No,Yes,Don't know,Not sure,Don't know,Yes,Don't know,Don't know,No,No,Yes,Yes,No,No,Yes,No,NA
30,Male,United States,Ohio,Yes,No,No,Never,Yes,1 to 5,Yes,Yes,No,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No,NA
24,Male,United States,Washington,No,No,No,NA,No,26 to 100,No,Yes,Yes,Not sure,Yes,Yes,Yes,Very easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,NA
31,Male,United States,Ohio,No,No,No,NA,No,100 to 500,No,No,Don't know,No,No,No,Yes,Somewhat easy,Maybe,No,No,No,No,Yes,No,No,NA
46,Male,United States,Washington,No,No,No,Never,Yes,26 to 100,No,Yes,Yes,Not sure,Yes,Don't know,Don't know,Very easy,No,No,Some of them,Some of them,Maybe,Maybe,Don't know,No,NA
29,Female,United States,California,Yes,No,No,Sometimes,Yes,More than 1000,No,Yes,Yes,Not sure,Don't know,No,Don't know,Very easy,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,NA
24,Male,United States,Massachusetts,No,No,No,NA,No,More than 1000,No,Yes,Yes,Yes,Don't know,Don't know,Yes,Don't know,Yes,No,No,No,No,Maybe,Don't know,No,I think there might be some bugs in my thought but I haven't sought treatment because they're not worse than annoying and I worry about having the label.
29,Male,United States,Washington,No,No,No,NA,No,26 to 100,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,I think a lot of our policy is based on a situation that occurred in the past 5 years. A very public mental illness happened with a coworker that unfortunately ended negatively. It was definitely a catalyst to talking about our options but the overall sentiment of it being OK to take time off talk with your supervisors etc. has always been there. It's a great company.
35,Male,United States,Michigan,No,No,No,NA,No,26 to 100,No,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,No,No,No,NA
33,Female,United States,Washington,No,Yes,No,Sometimes,Yes,26 to 100,Yes,Yes,No,Yes,No,No,Don't know,Very difficult,Yes,Maybe,Some of them,Some of them,No,Maybe,No,No,NA
27,Male,United States,California,No,No,No,Sometimes,Yes,More than 1000,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,Yes,No,No,No,No,Maybe,No,No,Regardless of a stated lack of negative consequences for discussing mental health issues with coworkers/superiors unconscious bias is a very real thing - as long as I don't *need* to inform my co-workers my mental health issues do not need to be public knowledge.
36,Male,United States,Iowa,No,No,No,NA,No,More than 1000,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,NA
25,Female,United States,Washington,No,Yes,Yes,Sometimes,Yes,26 to 100,No,Yes,Yes,Yes,No,No,Yes,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,NA
23,Male,United States,Alabama,No,Yes,Yes,Sometimes,Yes,100 to 500,No,No,Don't know,No,No,No,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Don't know,No,YOU MAY WANT TO THROW OUT MY ENTRY.I answered all of these questions with the assumption that Attention Deficit Disorder is considered a mental illness and with ADD in mind.
54,Male,United States,California,No,Yes,Yes,Never,Yes,More than 1000,No,Yes,Don't know,No,Yes,Yes,Don't know,Don't know,No,No,No,Yes,No,No,Don't know,No,NA
22,Male,United States,California,No,No,No,Sometimes,Yes,More than 1000,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,NA
25,Other,United States,California,No,Yes,Yes,Sometimes,Yes,More than 1000,No,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Yes,No,NA
27,Male,United States,Massachusetts,No,No,Yes,Sometimes,Yes,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,No,No,No,No,No,Yes,Yes,No,NA
26,Male,United States,California,No,Yes,Yes,Often,Yes,More than 1000,No,Yes,Yes,Not sure,Don't know,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No,NA
31,Male,United States,California,No,No,Yes,Sometimes,Yes,500 to 1000,No,No,No,Yes,No,Don't know,Yes,Don't know,No,No,Some of them,No,No,No,No,No,NA
33,Male,United States,Indiana,No,Yes,Yes,Sometimes,Yes,26 to 100,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,NA
34,Male,United States,Washington,No,Yes,Yes,Sometimes,Yes,More than 1000,No,Yes,Yes,Yes,Don't know,Yes,Yes,Don't know,Maybe,Maybe,No,No,No,No,Don't know,No,NA
34,Male,United States,Washington,No,No,Yes,Sometimes,Yes,100 to 500,Yes,Yes,No,No,No,No,Don't know,Somewhat easy,Yes,Yes,Some of them,Some of them,No,Maybe,Don't know,No,NA
29,Male,United States,Indiana,Yes,No,No,NA,No,1 to 5,Yes,Yes,No,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,NA
33,Female,United States,Washington,No,No,No,NA,No,6 to 25,No,Yes,No,No,No,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Some of them,No,No,Don't know,No,NA
26,Male,United States,Oklahoma,Yes,Yes,Yes,Rarely,Yes,100 to 500,Yes,No,No,No,No,Don't know,No,Don't know,Maybe,No,Some of them,Yes,No,Yes,No,No,NA
32,Male,United States,Michigan,No,Yes,Yes,Rarely,Yes,More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Don't know,No,No,Some of them,Yes,No,Yes,Yes,No,NA
31,Male,United States,Ohio,No,No,Yes,Often,Yes,6 to 25,Yes,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,No,No,No,NA
28,Male,United States,Georgia,No,Yes,Yes,Sometimes,Yes,More than 1000,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,Maybe,Maybe,No,No,No,No,No,No,NA
35,Male,United States,California,No,Yes,No,NA,No,More than 1000,No,Yes,Yes,No,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,No,No,Don't know,No,NA
36,Male,United States,Connecticut,No,Yes,Yes,Often,Yes,100 to 500,No,Yes,No,Yes,No,No,Yes,Very easy,No,No,Some of them,Some of them,No,No,Don't know,No,NA
21,Male,United States,Indiana,No,Yes,Yes,Rarely,Yes,100 to 500,No,Yes,Yes,No,No,Don't know,Yes,Don't know,No,No,Yes,Yes,Maybe,Maybe,Don't know,No,NA
22,Female,United States,Washington,No,No,No,NA,No,More than 1000,No,Yes,Yes,No,Yes,Yes,Yes,Somewhat easy,No,No,No,Some of them,No,No,Yes,No,NA
41,Male,United States,Washington,No,Yes,Yes,Often,Yes,More than 1000,No,Yes,Yes,No,Yes,Yes,Don't know,Somewhat difficult,Maybe,No,Yes,Some of them,No,Maybe,No,Yes,NA
55,Male,United States,Pennsylvania,No,Yes,Yes,Rarely,Yes,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No,My refer to the mental health issue of depression.  I might answer differently if I was talking about a more serious issue like schizophrenia
32,Female,United States,Washington,No,No,Yes,Sometimes,Yes,26 to 100,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,Maybe,Yes,No,My employer does what they can providing a wellness program and pointing it out after particularly stressful times. But the interaction between the wellness program and the medical insurance is unpleasant and finding a long-term therapist / psychiatrist covered by insurance is amazingly difficult. My current lack of active treatment is due to insurance friction more than workplace friction.
21,Female,United States,California,No,Yes,Yes,Rarely,Yes,26 to 100,No,Yes,Don't know,Not sure,Don't know,No,Don't know,Somewhat easy,Yes,No,Some of them,No,No,Yes,Don't know,No,NA
45,Male,United States,Massachusetts,No,No,Yes,Never,Yes,26 to 100,Yes,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,Some of them,No,Maybe,Don't know,No,NA
27,Female,United States,Washington,No,No,Yes,Rarely,Yes,More than 1000,No,Yes,Yes,Yes,No,No,Yes,Don't know,Yes,Maybe,No,No,No,No,No,No,NA
25,Female,United States,Washington,No,Yes,Yes,Sometimes,Yes,26 to 100,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Yes,No,NA
34,Female,United States,New York,No,Yes,Yes,Rarely,Yes,More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Very difficult,Maybe,Maybe,Some of them,Some of them,No,No,Yes,No,I work for a university.
26,Female,United States,California,No,Yes,Yes,Never,Yes,More than 1000,No,Yes,Yes,Yes,No,Yes,Yes,Don't know,Maybe,No,No,No,No,No,Don't know,No,NA
27,Male,United States,California,No,No,Yes,Rarely,Yes,More than 1000,No,Yes,Yes,No,Yes,Yes,Yes,Don't know,No,No,Some of them,Yes,No,Maybe,Yes,No,NA
31,Male,United States,Indiana,No,Yes,Yes,Sometimes,Yes,26 to 100,Yes,Yes,Yes,No,No,No,Don't know,Don't know,No,No,Yes,Yes,No,No,Don't know,No,NA
26,Male,United States,Nevada,No,No,Yes,Sometimes,Yes,6 to 25,No,Yes,Don't know,No,No,No,Don't know,Don't know,Yes,Yes,Some of them,No,No,No,No,No,NA
27,Female,United States,Colorado,No,Yes,Yes,Rarely,Yes,More than 1000,Yes,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Maybe,No,Yes,No,No,Don't know,No,NA
29,Other,United States,California,Yes,Yes,Yes,Sometimes,Yes,1 to 5,Yes,Yes,Yes,Yes,No,No,Don't know,Very difficult,Yes,No,Some of them,No,No,Maybe,No,No,NA
25,Female,United States,California,No,No,Yes,Sometimes,Yes,6 to 25,No,Yes,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Yes,No,Some of them,No,No,Maybe,Don't know,No,NA
40,Female,United States,Pennsylvania,No,Yes,Yes,Rarely,Yes,More than 1000,No,No,Yes,No,Don't know,Don't know,Don't know,Somewhat easy,Maybe,Maybe,No,No,No,No,Don't know,No,NA
31,Male,United States,South Carolina,No,No,No,Never,Yes,More than 1000,No,Yes,Don't know,No,No,Don't know,Don't know,Somewhat easy,Yes,No,Some of them,No,No,No,Don't know,No,NA
24,Female,United States,Texas,No,Yes,No,NA,No,500 to 1000,No,No,No,No,No,No,No,Very difficult,Yes,Maybe,No,No,No,Maybe,No,Yes,NA
29,Male,United States,Texas,No,No,No,Never,Yes,More than 1000,No,No,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,NA
32,Female,United States,Alabama,No,No,No,Never,Yes,100 to 500,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No,No,Some of them,No,Maybe,Don't know,No,NA
26,Male,United States,Oregon,No,Yes,Yes,Often,Yes,6 to 25,No,Yes,Yes,Yes,No,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Yes,No,No,No,No,NA
28,Male,United States,New Jersey,No,Yes,Yes,Sometimes,Yes,26 to 100,No,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,No,No,NA
23,Male,United States,California,No,No,No,NA,No,More than 1000,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,Maybe,No,No,NA
35,Male,United States,California,No,Yes,Yes,Sometimes,Yes,100 to 500,No,Yes,Yes,Yes,No,No,Don't know,Very difficult,Maybe,Maybe,Some of them,Some of them,No,Maybe,No,Yes,I'm troubled by the way that our hiring process tends to filter out non-neurotypicals of all stripes. Competent people who act a little funny can be hard to hire.
26,Male,United States,California,No,Yes,No,NA,No,6 to 25,No,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,No,No,NA
